,q_hat,seuil_score,coverage_marginale,coverage_macro,taille_moyenne,n_calib_used,quantile_level
A,0.91951,0.08048999999999995,0.9357195708472068,0.9268712723932437,1.55826859045505,190346.0,0.9500049909112878
B,0.91951,0.08048999999999995,0.9357195708472068,0.9268712723932437,1.55826859045505,190346.0,0.9500049909112878
C,0.04905000000000004,0.95095,0.8598779134295228,0.8490567754630588,1.0000924898261192,189936.0,0.05408321750484374
