Méthode,Couv. marginale,Couv. macro,Couv. marg. Rares,Couv. marg. Communes,Couv. macro Rares,Couv. macro Communes,Taille moyenne,Taille médiane,Taille Rares,Taille Communes
Standard,0.9525527192008879,0.9478643138134291,0.9520776946346123,0.9532112116530567,0.9461038318557028,0.9621757602986728,2.6630595634480208,2.0,2.736188505015125,2.5616861619951448
PAS,0.9518128005919348,0.9437094939531891,0.9469829644960993,0.9585080556168616,0.9406686417210273,0.9684294257872657,2.419071402145764,2.0,2.43225601018946,2.400794526594571
Conditionnelle,0.8355530891601923,0.7773988376962959,0.7745581913708008,0.9201059368792761,0.7606949235305862,0.9131895923970077,11.834443211246763,7.0,12.925489571724247,10.322003972632972
