observation_id,non_conformity
1017630001,0.71346
1009980001,0.12585999999999997
1016260002,0.5143599999999999
1001220002,0.43906999999999996
1003820004,0.7772
1002660004,0.37044999999999995
1001600006,0.39913
1008380006,0.09260999999999997
1003960007,0.20160999999999996
1004670008,0.13727
1014410011,0.09802
1016380012,0.08362000000000003
1013890013,0.24489000000000005
1004670015,0.25661
1012980018,0.27248000000000006
1004670020,0.12653000000000003
1008880020,0.29956000000000005
1003820020,0.47030000000000005
1011030022,0.08647000000000005
1004050022,0.33612
1003820023,0.15520999999999996
1017680023,0.07754000000000005
1002570025,0.48509
1011530026,0.07089000000000001
1008430027,0.12002000000000002
1003900027,0.11612
1001160028,0.98856
1010840032,0.14017000000000002
1007260033,0.65977
1010190034,0.56776
1008880034,0.34356
1017630036,0.6248199999999999
1009750036,0.10001000000000004
1015420037,0.09641
1003900038,0.33026999999999995
1012620040,0.27824000000000004
1009950043,0.119
1012650045,0.07923999999999998
1018010046,0.31132000000000004
1003900048,0.2843
1006500050,0.18799
1009060054,0.07918000000000003
1016260055,0.05210999999999999
1013890055,0.10313000000000005
1016220058,0.10882999999999998
1008880059,0.18733
1017110061,0.05974999999999997
1016330063,0.92998
1016380066,0.47887
1003680068,0.10728000000000004
1011530069,0.09736999999999996
1004760071,0.51953
1012980074,0.13715
1004160075,0.44081000000000004
1017110075,0.09963999999999995
1011710075,0.29389
1015150075,0.45267999999999997
1004160077,0.045660000000000034
1007220077,0.11660999999999999
1011590079,0.03878000000000004
1002660079,0.43755
1010090080,0.95662
1001010080,0.49533000000000005
1002280083,0.99839
1020010084,0.26037999999999994
1005790085,0.23304000000000002
1008880086,0.42923
1008770086,0.09277999999999997
1009560086,0.10951999999999995
1013810087,0.25310999999999995
1016160088,0.7588
1008750089,0.56714
1019020090,0.06864999999999999
1014760091,0.03351000000000004
1005340093,0.74472
1003870095,0.30584999999999996
1012140097,0.59188
1012760097,0.53278
1001600097,0.35368999999999995
1014040099,0.63619
1014120100,0.13832999999999995
1014380100,0.14515999999999996
1018930101,0.16554999999999997
1016490102,0.03383000000000003
1010480103,0.37681
1016380105,0.29662
1010850106,0.01687000000000005
1013890108,0.01468999999999998
1003900109,0.20113999999999999
1003790109,0.15383999999999998
1002600110,0.29049
1003900112,0.23765999999999998
1009460114,0.21736999999999995
1010480114,0.25509000000000004
1009060120,0.04354999999999998
1013740120,0.37871
1008880122,0.17469999999999997
1003760122,0.03763000000000005
1011590123,0.20231
1016490123,0.07481000000000004
1009830126,0.96098
1004860126,0.13010999999999995
1003900128,0.22606000000000004
1008770128,0.13502999999999998
1010190129,0.14532999999999996
1012140129,0.12282000000000004
1003560130,0.42335999999999996
1008880131,0.04679
1019940131,0.08842000000000005
1001880133,0.99879
1002830135,0.07945999999999998
1008770139,0.11280999999999997
1003910139,0.21497999999999995
1003760141,0.044789999999999996
1009530141,0.5023
1013160142,0.66806
1009060143,0.05340999999999996
1005970144,0.28673000000000004
1010500145,0.08784000000000003
1008880146,0.29969
1003910147,0.10858999999999996
1009460147,0.06869000000000003
1008880149,0.10953999999999997
1019930151,0.08531999999999995
1008750151,0.59074
1012490153,0.65863
1003900154,0.30474
1003930154,0.6227
1012550154,0.30005000000000004
1004860158,0.7284200000000001
1008480160,0.08704
1019930161,0.19240000000000002
1007850163,0.10777999999999999
1003840165,0.126
1016490166,0.1412
1005750167,0.04522999999999999
1005270168,0.79196
1009060168,0.34819999999999995
1010190169,0.04930000000000001
1011680170,0.055479999999999974
1008350170,0.09038000000000002
1005270172,0.14844000000000002
1003670172,0.11082999999999998
1004860173,0.29364999999999997
1014120173,0.12707999999999997
1010380173,0.13373999999999997
1001830174,0.27441000000000004
1004860175,0.07798000000000005
1002940176,0.76486
1002940177,0.16095000000000004
1002990178,0.27432999999999996
1018400178,0.78394
1004590179,0.04422999999999999
1004860179,0.04108999999999996
1013490179,0.32216
1019670179,0.04079999999999995
1006500181,0.06101999999999996
1011440182,0.08547000000000005
1011900183,0.31747000000000003
1004550183,0.05481999999999998
1012490184,0.24850000000000005
1004110187,0.11800999999999995
1004950188,0.09799999999999998
1004950189,0.34291000000000005
1004950190,0.74047
1010220193,0.58789
1013890193,0.08606999999999998
1011660193,0.60147
1005460195,0.12219999999999998
1011680196,0.15347
1004860196,0.46177999999999997
1009530198,0.07340999999999998
1017160199,0.20106999999999997
1013100201,0.020050000000000012
1003890201,0.39654999999999996
1004950202,0.98822
1008880203,0.33667
1016490204,0.63659
1009960205,0.014660000000000006
1019330206,0.07886000000000004
1008880206,0.056499999999999995
1007230207,0.18228999999999995
1008590208,0.05308999999999997
1016300210,0.45193000000000005
1012760211,0.07699
1017160211,0.12136999999999998
1013560213,0.14578000000000002
1008880214,0.6847
1019390216,0.10938000000000003
1005460216,0.20765999999999996
1009640218,0.11768999999999996
1008260219,0.04278000000000004
1005300220,0.15458000000000005
1016270221,0.71519
1014920222,0.15674
1003840225,0.48797999999999997
1003700225,0.62693
1016910227,0.13029000000000002
1008880227,0.38447
1010060230,0.53199
1004950230,0.6225
1017410231,0.15422000000000002
1012910232,0.8578
1011590232,0.16761000000000004
1003860233,0.20213000000000003
1005760234,0.03488000000000002
1003860234,0.08426999999999996
1012730236,0.13748000000000005
1002670236,0.5527
1007200238,0.04983000000000004
1000990239,0.16166999999999998
1010350239,0.35407999999999995
1012620242,0.54157
1012650243,0.83876
1017410243,0.29628
1012720243,0.56291
1008480246,0.12046000000000001
1006820249,0.96472
1012490249,0.07748999999999995
1006520251,0.50634
1013240252,0.59569
1006150252,0.33199999999999996
1003840254,0.045640000000000014
1005340256,0.87745
1003700257,0.59777
1006260257,0.12090999999999996
1003840258,0.5658000000000001
1005340258,0.10787999999999998
1008880258,0.562
1011670259,0.51904
1008880259,0.33275999999999994
1006620260,0.028000000000000025
1013490263,0.84777
1003860265,0.17681999999999998
1003950266,0.23116000000000003
1017390269,0.029410000000000047
1002690273,0.20509
1008190273,0.32572
1018880274,0.09130000000000005
1014160275,0.07662999999999998
1008880276,0.22762000000000004
1002690276,0.72524
1019090276,0.16019000000000005
1012410277,0.19865999999999995
1005760279,0.07665999999999995
1004920280,0.96843
1013240283,0.08581000000000005
1004920283,0.21030000000000004
1004920284,0.74375
1009570285,0.03312999999999999
1001600285,0.53114
1007590287,0.25495
1003700289,0.71976
1015650291,0.007050000000000001
1000970293,0.37605999999999995
1006500293,0.46263
1005580294,0.95798
1007590298,0.12378999999999996
1012000299,0.87166
1008500299,0.3369
1011900300,0.26532
1016340300,0.11348999999999998
1004030303,0.61019
1016270304,0.99791
1013160304,0.41444000000000003
1012720307,0.99052
1015650308,0.31332000000000004
1011670310,0.22550000000000003
1009570311,0.19323999999999997
1007590313,0.40032
1009580315,0.16952
1003700316,0.99079
1008590319,0.9046
1012650319,0.08220000000000005
1017200320,0.24790999999999996
1004040321,0.16024000000000005
1013240322,0.10102999999999995
1014990326,0.138
1004920330,0.87492
1012140331,0.01817000000000002
1004920331,0.83635
1002980333,0.06738
1013890333,0.05832999999999999
1003600334,0.17476000000000003
1004920335,0.9075
1003960338,0.049209999999999976
1012910339,0.60317
1011670339,0.24634
1011480339,0.49099000000000004
1001590340,0.056520000000000015
1016260340,0.18528
1018380343,0.21236999999999995
1007200345,0.35248999999999997
1004920345,0.08489000000000002
1010450346,0.22026999999999997
1019330348,0.7024699999999999
1017200348,0.31022000000000005
1018020348,0.16588999999999998
1017190349,0.13432999999999995
1017730349,0.96587
1004920349,0.35067000000000004
1009570349,0.13482000000000005
1007590353,0.27825999999999995
1013030353,0.68304
1016260354,0.05664999999999998
1008880355,0.6183799999999999
1008880356,0.5383
1016340357,0.17591
1013030357,0.09538999999999997
1008880357,0.22690999999999995
1018880358,0.08033999999999997
1011900360,0.6466799999999999
1003330362,0.09491000000000005
1013810363,0.18208999999999997
1008880367,0.25239999999999996
1013240368,0.04391999999999996
1013560369,0.35041999999999995
1008590369,0.03200000000000003
1008650370,0.10641
1004950371,0.11046999999999996
1007110372,0.04664999999999997
1017410372,0.18628
1004950373,0.19967000000000001
1017700374,0.11787000000000003
1014990375,0.11241000000000001
1009570375,0.65515
1013240375,0.07550000000000001
1003880376,0.12246000000000001
1016340377,0.56952
1010420377,0.623
1013030377,0.044359999999999955
1019930378,0.03430999999999995
1012490379,0.07255
1006120379,0.15986
1012140383,0.8547899999999999
1009530384,0.15432999999999997
1008750386,0.17889999999999995
1004920386,0.17957
1007110386,0.12409000000000003
1002810387,0.39664
1010420390,0.02744000000000002
1008750390,0.057640000000000025
1004920390,0.6890700000000001
1004550393,0.19408999999999998
1007590395,0.08282999999999996
1012490395,0.46456
1003880395,0.25361
1011230396,0.08814
1015570398,0.67222
1017130398,0.40864999999999996
1009940400,0.53293
1008880401,0.056499999999999995
1013240402,0.344
1004920402,0.22075999999999996
1012140404,0.25980000000000003
1004640404,0.21304999999999996
1009530406,0.30326
1003880406,0.7319800000000001
1004040408,0.22851
1003880409,0.45914
1013240410,0.041059999999999985
1018800410,0.07530999999999999
1008880411,0.38544999999999996
1015570411,0.46182999999999996
1011590414,0.24087999999999998
1004150414,0.66549
1012620414,0.6093500000000001
1014150415,0.17662
1003880416,0.23134
1001610417,0.12897999999999998
1013240419,0.11702999999999997
1009570419,0.06386000000000003
1017570419,0.02795000000000003
1010420420,0.018870000000000053
1002850421,0.14561999999999997
1009530424,0.48650000000000004
1014990424,0.04581999999999997
1004920426,0.31919
1002810427,0.17759999999999998
1004920427,0.7495
1009540427,0.44923
1012620428,0.023920000000000052
1002850430,0.14325
1003860432,0.044359999999999955
1004450432,0.17684999999999995
1012960434,0.67518
1001010434,0.16508
1009530436,0.10070000000000001
1004040436,0.27576999999999996
1011680438,0.19506
1012910439,0.06586999999999998
1009960441,0.5702400000000001
1013380444,0.47684000000000004
1008240446,0.26105999999999996
1009450446,0.21321999999999997
1004950446,0.7230300000000001
1011430446,0.11660000000000004
1005990448,0.99876
1011900448,0.7382500000000001
1009400453,0.07586999999999999
1008750457,0.23928000000000005
1002070459,0.42921
1003820459,0.63495
1011370459,0.02312000000000003
1003880459,0.55118
1013080459,0.2993
1012700460,0.6178
1012620460,0.19523000000000001
1012410460,0.31316999999999995
1008750461,0.20806999999999998
1013300462,0.32784
1019680463,0.09852000000000005
1010920465,0.34029
1004590466,0.08040999999999998
1004550466,0.94418
1003880467,0.39827
1004040467,0.049880000000000035
1013890470,0.33706
1009400471,0.08133999999999997
1001760472,0.18545999999999996
1017410472,0.36204000000000003
1012620473,0.30181
1008100473,0.09704999999999997
1003960473,0.11216999999999999
1004590473,0.07509999999999994
1009450473,0.18650999999999995
1004040474,0.38039999999999996
1005990474,0.98382
1008880475,0.27415
1003860476,0.14449
1018540479,0.48438000000000003
1009400479,0.08201000000000003
1012620482,0.05867
1007590483,0.0807
1016520486,0.05325000000000002
1009400486,0.34575999999999996
1003860486,0.08084999999999998
1016260487,0.29818999999999996
1017520488,0.57704
1016330490,0.49532
1013560494,0.32027000000000005
1016230494,0.42979999999999996
1017420498,0.94983
1003560498,0.8365400000000001
1004040498,0.12685999999999997
1005270500,0.048939999999999984
1018650502,0.21675
1016260502,0.03271000000000002
1014180503,0.056479999999999975
1010850504,0.03466999999999998
1016330504,0.11826999999999999
1009990506,0.16607000000000005
1016530506,0.76739
1012610507,0.21001999999999998
1005270507,0.02475000000000005
1017860509,0.31454000000000004
1001530509,0.63444
1005990510,0.40398
1005270510,0.09740000000000004
1003480510,0.6280600000000001
1003860512,0.09692
1012610513,0.07094
1013470515,0.62678
1003560515,0.25490999999999997
1014040517,0.22660000000000002
1012610520,0.67736
1014180520,0.5022800000000001
1003480521,0.41279999999999994
1003480523,0.69531
1004120523,0.67607
1017410523,0.19357000000000002
1003550525,0.12812
1019680525,0.12470999999999999
1005550525,0.52052
1012610530,0.5620700000000001
1011670531,0.15095999999999998
1004920532,0.028100000000000014
1003480532,0.15132
1009570533,0.30495000000000005
1012620535,0.09180999999999995
1013300535,0.45170999999999994
1005270536,0.45072999999999996
1004590537,0.036760000000000015
1005270537,0.69068
1008100538,0.028429999999999955
1011670538,0.08375999999999995
1003720543,0.19572999999999996
1016270544,0.22089999999999999
1005270545,0.22155999999999998
1016550546,0.26647
1010850546,0.08867000000000003
1009600547,0.47034
1010420548,0.39971999999999996
