vraie_espece,couv_std,n_obs,groupe,couv_pas,diff
3284,1.0,3,Rare,1.0,0.0
3290,0.475,40,Commun,0.475,0.0
3295,0.3333333333333333,9,Rare,0.3333333333333333,0.0
3297,0.0,1,Rare,0.0,0.0
3344,0.875,8,Rare,0.875,0.0
3586,1.0,4,Rare,1.0,0.0
3587,1.0,4,Rare,1.0,0.0
3605,1.0,1,Rare,1.0,0.0
3630,1.0,5,Rare,0.8,-0.19999999999999996
3661,1.0,1,Rare,1.0,0.0
3664,1.0,1,Rare,1.0,0.0
3668,1.0,10,Commun,1.0,0.0
3791,1.0,1,Rare,1.0,0.0
3800,1.0,3,Rare,1.0,0.0
3805,1.0,20,Commun,1.0,0.0
3844,0.0,1,Rare,0.0,0.0
3845,0.8888888888888888,18,Commun,1.0,0.11111111111111116
3853,1.0,1,Rare,1.0,0.0
3914,1.0,24,Commun,1.0,0.0
3919,1.0,2,Rare,1.0,0.0
3977,1.0,1,Rare,1.0,0.0
3979,1.0,2,Rare,1.0,0.0
4020,1.0,1,Rare,1.0,0.0
4030,0.9705882352941176,34,Commun,0.9705882352941176,0.0
4033,1.0,2,Rare,1.0,0.0
4039,1.0,2,Rare,1.0,0.0
4042,1.0,4,Rare,1.0,0.0
4052,1.0,1,Rare,1.0,0.0
4053,1.0,2,Rare,1.0,0.0
4070,1.0,1,Rare,1.0,0.0
4117,1.0,3,Rare,1.0,0.0
4147,1.0,28,Commun,1.0,0.0
4192,1.0,7,Rare,1.0,0.0
4193,1.0,7,Rare,1.0,0.0
4226,0.6666666666666666,3,Rare,0.6666666666666666,0.0
4231,1.0,1,Rare,1.0,0.0
4284,1.0,1,Rare,1.0,0.0
4285,1.0,1,Rare,1.0,0.0
4294,0.8,5,Rare,0.8,0.0
4309,1.0,1,Rare,1.0,0.0
4315,1.0,3,Rare,1.0,0.0
4322,1.0,1,Rare,1.0,0.0
4325,1.0,3,Rare,1.0,0.0
4328,1.0,2,Rare,1.0,0.0
4350,1.0,2,Rare,1.0,0.0
4360,1.0,2,Rare,1.0,0.0
4429,1.0,3,Rare,1.0,0.0
4432,0.6,15,Commun,0.6,0.0
4486,1.0,6,Rare,1.0,0.0
4487,0.0,2,Rare,0.0,0.0
4534,1.0,3,Rare,1.0,0.0
4569,1.0,1,Rare,1.0,0.0
4580,1.0,1,Rare,1.0,0.0
4584,1.0,3,Rare,1.0,0.0
4587,1.0,1,Rare,1.0,0.0
4613,1.0,8,Rare,1.0,0.0
4616,1.0,3,Rare,1.0,0.0
4630,1.0,1,Rare,1.0,0.0
4633,1.0,1,Rare,1.0,0.0
4644,1.0,1,Rare,1.0,0.0
4688,1.0,5,Rare,1.0,0.0
4709,1.0,2,Rare,1.0,0.0
4732,1.0,2,Rare,1.0,0.0
4734,1.0,1,Rare,1.0,0.0
4737,1.0,5,Rare,0.8,-0.19999999999999996
4747,1.0,1,Rare,1.0,0.0
4749,0.0,1,Rare,0.0,0.0
4760,1.0,1,Rare,1.0,0.0
4806,1.0,3,Rare,1.0,0.0
4810,1.0,4,Rare,1.0,0.0
4815,1.0,2,Rare,1.0,0.0
4856,1.0,1,Rare,1.0,0.0
4875,1.0,9,Commun,1.0,0.0
4878,1.0,1,Rare,1.0,0.0
4884,1.0,2,Rare,1.0,0.0
4895,1.0,2,Rare,1.0,0.0
4899,1.0,5,Rare,1.0,0.0
4908,1.0,2,Rare,1.0,0.0
4935,1.0,1,Rare,1.0,0.0
4978,1.0,1,Rare,1.0,0.0
5016,1.0,2,Rare,1.0,0.0
5041,1.0,3,Rare,1.0,0.0
5083,1.0,8,Rare,1.0,0.0
5087,1.0,8,Rare,1.0,0.0
5089,1.0,1,Rare,1.0,0.0
5090,1.0,4,Rare,1.0,0.0
5149,1.0,5,Rare,1.0,0.0
5175,1.0,9,Rare,1.0,0.0
5198,1.0,1,Rare,1.0,0.0
5248,1.0,1,Rare,1.0,0.0
5263,1.0,3,Rare,1.0,0.0
5270,1.0,12,Commun,1.0,0.0
5272,1.0,4,Rare,1.0,0.0
5283,1.0,8,Commun,1.0,0.0
5290,1.0,5,Rare,1.0,0.0
5292,1.0,1,Rare,1.0,0.0
5330,1.0,4,Commun,1.0,0.0
5371,1.0,1,Rare,1.0,0.0
5409,1.0,1,Rare,1.0,0.0
5458,1.0,1,Rare,1.0,0.0
5463,1.0,2,Rare,1.0,0.0
5466,1.0,1,Rare,1.0,0.0
5468,1.0,3,Rare,1.0,0.0
5488,1.0,9,Commun,1.0,0.0
5495,1.0,1,Rare,1.0,0.0
5514,1.0,1,Rare,1.0,0.0
5515,0.5,2,Rare,0.5,0.0
5533,1.0,1,Rare,1.0,0.0
5535,1.0,1,Rare,1.0,0.0
5544,1.0,1,Rare,1.0,0.0
5550,1.0,19,Commun,1.0,0.0
5552,1.0,5,Rare,1.0,0.0
5635,1.0,4,Rare,1.0,0.0
5636,0.8571428571428571,7,Rare,0.8571428571428571,0.0
5651,1.0,5,Rare,1.0,0.0
5698,1.0,5,Rare,1.0,0.0
5716,0.0,1,Rare,0.0,0.0
5719,1.0,1,Rare,1.0,0.0
5720,1.0,2,Rare,1.0,0.0
5734,1.0,2,Rare,1.0,0.0
5757,1.0,2,Rare,1.0,0.0
5767,1.0,2,Rare,1.0,0.0
5837,1.0,2,Rare,1.0,0.0
5841,1.0,2,Rare,1.0,0.0
5847,1.0,2,Rare,1.0,0.0
5912,1.0,1,Rare,1.0,0.0
5976,1.0,3,Rare,1.0,0.0
6125,1.0,1,Rare,1.0,0.0
6134,1.0,2,Rare,1.0,0.0
6255,1.0,1,Rare,1.0,0.0
6259,0.5,2,Rare,0.5,0.0
6320,1.0,7,Rare,1.0,0.0
6376,1.0,3,Rare,1.0,0.0
6390,1.0,1,Rare,1.0,0.0
6430,1.0,1,Rare,1.0,0.0
6688,1.0,3,Rare,1.0,0.0
6705,1.0,3,Rare,1.0,0.0
6708,1.0,10,Commun,1.0,0.0
6710,1.0,3,Rare,1.0,0.0
6711,1.0,2,Rare,1.0,0.0
6746,1.0,1,Rare,1.0,0.0
6749,1.0,1,Rare,1.0,0.0
6754,0.9,10,Rare,0.9,0.0
6844,1.0,2,Rare,1.0,0.0
6853,1.0,7,Rare,1.0,0.0
6878,1.0,6,Rare,1.0,0.0
6911,1.0,1,Rare,1.0,0.0
6945,1.0,1,Rare,1.0,0.0
6964,0.0,1,Rare,0.0,0.0
6965,1.0,4,Rare,1.0,0.0
6972,0.8571428571428571,7,Rare,0.8571428571428571,0.0
6995,1.0,1,Rare,1.0,0.0
6999,0.9166666666666666,12,Rare,0.9166666666666666,0.0
7002,1.0,2,Rare,1.0,0.0
